Mean color of all country flags (R, G, B)
cv: [0.2484640522875817, 0.34833333333333333, 0.5952941176470589]
ky: [0.23398039215686275, 0.2554313725490196, 0.4525294117647059]
kh: [0.44835595776772247, 0.18441930618401206, 0.46546003016591253]
cm: [0.6014177978883861, 0.4668627450980392, 0.19987933634992458]
ca: [1.0, 0.36284313725490197, 0.36284313725490197]
cl: [0.7604072398190045, 0.46211161387631977, 0.5041025641025642]
cn: [0.8735897435897436, 0.17734539969834087, 0.06125188536953243]
cx: [0.13090196078431374, 0.3716470588235294, 0.45825490196078433]
cy: [0.9759125188536953, 0.9443740573152338, 0.9006938159879336]
cc: [0.09686274509803922, 0.5375882352941177, 0.0]
co: [0.6962292609351433, 0.481447963800905, 0.2244343891402715]
km: [0.6349509803921569, 0.591045751633987, 0.4492156862745098]
cg: [0.6147511312217194, 0.530920060331825, 0.22429864253393667]
cd: [0.2889803921568627, 0.4554901960784314, 0.7060261437908497]
ck: [0.20505882352941177, 0.23705882352941177, 0.46780392156862743]
kr: [0.8485972850678734, 0.8205429864253394, 0.8477073906485671]
kp: [0.6360392156862745, 0.2682156862745098, 0.3990196078431373]
cr: [0.5994281045751634, 0.43666666666666665, 0.5692483660130719]
ci: [0.6558823529411765, 0.7056862745098039, 0.458657616892911]
hr: [0.6902941176470588, 0.3631372549019608, 0.5265686274509804]
cu: [0.47480392156862744, 0.4051764705882353, 0.6164705882352941]
cw: [0.13889894419306184, 0.2755052790346908, 0.4541478129713424]
dk: [0.8282091503267974, 0.26726797385620915, 0.3758692810457516]
dj: [0.45920060331825036, 0.7640422322775264, 0.6568778280542986]
do: [0.574027149321267, 0.3780542986425339, 0.4774358974358974]
dm: [0.2417058823529412, 0.4471764705882353, 0.29549019607843136]
eg: [0.6012066365007541, 0.351447963800905, 0.37096530920060333]
sv: [0.30597147950089126, 0.5003565062388592, 0.7614973262032085]
ae: [0.5002941176470588, 0.3629411764705882, 0.2961764705882353]
ec: [0.7362292609351433, 0.5335595776772247, 0.19856711915535444]
er: [0.5448627450980392, 0.3568235294117647, 0.36149019607843136]
es: [0.871236802413273, 0.3860331825037707, 0.07539969834087482]
ee: [0.3330316742081448, 0.4820211161387632, 0.6023831070889895]
us: [0.7237254901960785, 0.4792335115864528, 0.5478609625668449]
et: [0.5172156862745098, 0.4404901960784314, 0.20247058823529412]
fk: [0.2265294117647059, 0.26150980392156864, 0.4775098039215686]
fo: [0.8037647058823529, 0.718483660130719, 0.7938300653594771]
fj: [0.5019803921568627, 0.6138823529411764, 0.7686274509803922]
fi: [0.6051960784313726, 0.6866339869281046, 0.8034640522875817]
fr: [0.6429411764705882, 0.4323529411764706, 0.6025490196078431]
ga: [0.40522875816993464, 0.6326797385620915, 0.41045751633986927]
gm: [0.4669683257918552, 0.3134238310708899, 0.334841628959276]
ge: [1.0, 0.6446907993966817, 0.6446907993966817]
gs: [0.20829411764705882, 0.22801960784313727, 0.4339607843137255]
gh: [0.5745098039215686, 0.41502262443438914, 0.15809954751131222]
gi: [0.8927254901960784, 0.5512156862745098, 0.5627843137254902]
gr: [0.4741628959276018, 0.6503469079939668, 0.8260935143288084]
gd: [0.6122712418300653, 0.4358006535947712, 0.195359477124183]
gl: [0.9078733031674208, 0.5234238310708899, 0.599683257918552]
gp: [0.18639517345399698, 0.21877828054298643, 0.1593815987933635]
gu: [0.14042780748663103, 0.1841354723707665, 0.4592691622103387]
gt: [0.5107390648567119, 0.7158974358974359, 0.8578883861236802]
gg: [0.9705580693815988, 0.7050980392156863, 0.6783107088989442]
gn: [0.5986274509803922, 0.4885972850678733, 0.20372549019607844]
gw: [0.5825294117647059, 0.5002352941176471, 0.1705686274509804]
gq: [0.6057466063348417, 0.5421719457013575, 0.388446455505279]
gy: [0.4090359477124183, 0.5436764705882353, 0.2661764705882353]
gf: [0.5225339366515838, 0.6904374057315233, 0.1097737556561086]
ht: [0.4258986928104575, 0.12926470588235295, 0.4275980392156863]
hm: [0.2021764705882353, 0.11145098039215687, 0.5461372549019607]
hn: [0.31954901960784315, 0.6262549019607843, 0.8716274509803922]
hk: [0.8812669683257919, 0.22971342383107088, 0.14021116138763198]
hu: [0.6890196078431372, 0.5333333333333333, 0.5149019607843137]
im: [0.8158823529411765, 0.11903921568627451, 0.19998039215686275]
um: [0.7237254901960785, 0.4792335115864528, 0.5478609625668449]
vg: [0.21803921568627452, 0.25666666666666665, 0.43411764705882355]
vi: [0.8883559577677225, 0.8719457013574661, 0.7991704374057316]
in: [0.6704524886877828, 0.691236802413273, 0.4005128205128205]
io: [0.519921568627451, 0.5117843137254902, 0.6227254901960785]
id: [1.0, 0.49984917043740573, 0.49984917043740573]
ir: [0.6778074866310161, 0.5498752228163993, 0.4319786096256685]
iq: [0.5776168929110106, 0.34250377073906485, 0.36392156862745095]
ie: [0.6952941176470588, 0.7135294117647059, 0.542156862745098]
is: [0.3235994397759104, 0.3995378151260504, 0.6060644257703082]
il: [0.6508888888888889, 0.7271241830065359, 0.9020915032679738]
it: [0.6025490196078431, 0.58, 0.49627450980392157]
jm: [0.3187450980392157, 0.4685490196078431, 0.07686274509803921]
jp: [0.9485972850678733, 0.8044645550527904, 0.8387933634992458]
je: [0.9492320261437909, 0.7552450980392157, 0.766062091503268]
jo: [0.3997058823529412, 0.3491764705882353, 0.3033529411764706]
kz: [0.08090196078431372, 0.6934705882352942, 0.7302549019607844]
ke: [0.3287782805429864, 0.2269683257918552, 0.11122171945701358]
kg: [1.0, 0.09588235294117647, 0.0]
ki: [0.6571764705882353, 0.3495686274509804, 0.3699019607843137]
kw: [0.48586274509803923, 0.4088627450980392, 0.3632941176470588]
la: [0.4892911010558069, 0.18380090497737556, 0.32883861236802414]
ls: [0.36745098039215685, 0.5801206636500754, 0.6329110105580694]
lv: [0.6956862745098039, 0.35058823529411764, 0.3788235294117647]
lb: [0.8955957767722473, 0.5317797888386123, 0.524343891402715]
lr: [0.7824420677361854, 0.447825311942959, 0.544795008912656]
ly: [0.27231372549019606, 0.1664313725490196, 0.09858823529411764]
li: [0.4266013071895425, 0.12866013071895424, 0.30526143790849675]
lt: [0.5830065359477125, 0.43137254901960786, 0.17254901960784313]
lu: [0.6431372549019608, 0.5973856209150327, 0.6980392156862745]
mo: [0.12956259426847663, 0.4984917043740573, 0.42413273001508295]
mk: [0.8638431372549019, 0.360921568627451, 0.13176470588235295]
mg: [0.6628355957767722, 0.5777375565610859, 0.4746003016591252]
my: [0.682843137254902, 0.3983921568627451, 0.4674313725490196]
mw: [0.3753544494720965, 0.23107088989441932, 0.12558069381598794]
mv: [0.5649170437405732, 0.21438914027149322, 0.223710407239819]
ml: [0.6247058823529412, 0.5317345399698341, 0.153921568627451]
mt: [0.8973303167420814, 0.5249019607843137, 0.570422322775264]
mp: [0.1871764705882353, 0.5089019607843137, 0.7225294117647059]
ma: [0.7454901960784314, 0.15616892911010558, 0.17659125188536953]
mh: [0.22522281639928698, 0.3536898395721925, 0.5826559714795009]
mq: [0.43423831070889896, 0.518763197586727, 0.7124886877828054]
mu: [0.5049773755656108, 0.441025641025641, 0.24193061840120664]
mr: [0.29312217194570134, 0.3376621417797888, 0.2020814479638009]
yt: [0.8830920060331825, 0.840814479638009, 0.8467269984917044]
mx: [0.5790017825311943, 0.4645811051693405, 0.44180035650623883]
fm: [0.47771836007130125, 0.7079857397504457, 0.8711229946524064]
md: [0.5465294117647059, 0.32903921568627453, 0.3001372549019608]
mc: [0.903921568627451, 0.5333333333333333, 0.5745098039215686]
mn: [0.5790392156862745, 0.261921568627451, 0.3517647058823529]
me: [0.773921568627451, 0.16254901960784313, 0.07674509803921568]
ms: [0.18601960784313726, 0.2412549019607843, 0.44950980392156864]
mz: [0.48665158371040723, 0.43835595776772246, 0.20242835595776773]
mm: [0.7675414781297134, 0.5909200603318251, 0.2235444947209653]
na: [0.3431372549019608, 0.3720211161387632, 0.36980392156862746]
nr: [0.10592156862745097, 0.23788235294117646, 0.4770980392156863]
np: [0.8114460784313725, 0.5594607843137255, 0.6654493464052288]
ni: [0.3286601307189542, 0.5986111111111111, 0.842140522875817]
ne: [0.6368627450980392, 0.6355017301038063, 0.3467128027681661]
ng: [0.3331372549019608, 0.6861176470588235, 0.5449019607843137]
nu: [0.8969411764705882, 0.7535686274509804, 0.12872549019607843]
nf: [0.3123921568627451, 0.6386470588235295, 0.4522745098039216]
